Original Sentence,Subject,Verb,Object,Non-finite Verbs
句子：His remarkable ability to adapt to new situations and learn quickly has always impressed his colleagues.,ability,impressed,colleagues,"to adapt, adapt, to adapt"
"句子：With his remarkable abilities, he was able to solve the complex problem in record time.",he,was,time,to solve
"句子：The discussion about climate change sparked a heated debate among scientists, policymakers, and the general public, highlighting the urgency of addressing environmental concerns.",discussion,sparked,concerns,highlighting
句子：The performance above expectations astonished everyone in the audience.,performance,astonished,audience,
句子：Studying abroad broadens one's horizons and exposes them to diverse cultures and perspectives.,,broadens,cultures,to diverse
"句子：Absolute power corrupts absolutely, as history has shown time and again.",history,corrupts,time,shown
"句子：Absolutely, her dedication to excellence shines brightly through her unwavering commitment and relentless pursuit of perfection.",dedication,shines,perfection,
"句子：Academic excellence requires dedication, rigorous study, and continuous learning, fostering a deep understanding of subjects and promoting intellectual growth.",excellence,requires,growth,fostering
句子：She reluctantly had to accept the reality that her dream job was no longer available.,job,had,reality,to accept
句子：She gained access to the restricted area by using her security clearance and biometric identification.,句子：She,gained,clearance,
"句子：The accident was caused by reckless driving and poor road conditions, resulting in damage to multiple vehicles and injuries to the passengers.",accident,caused,passengers,resulting
"句子：The accommodation provided comfortable beds, a fully equipped kitchen, and a spacious living area, ensuring that guests have a pleasant and relaxing stay.",guests,provided,stay,ensuring
"句子：The soothing melody of the piano accompanied her graceful dance, filling the room with an atmosphere of elegance and serenity.",melody,accompanied,elegance,"soothing, filling"
"句子：According to recent studies, regular exercise and a balanced diet are essential for maintaining good health and preventing chronic diseases.",句子：According,are,diseases,to 句子：According
"句子：She meticulously keeps track of her expenses and income, ensuring that her account balances accurately reflect her financial situation.",balances,keeps,situation,ensuring
"句子：The machine's accurate performance is a result of diligent testing and calibration, guaranteeing precise measurements aligned with the desired specifications.",performance,is,specifications,"guaranteeing, aligned, desired"
"句子：She decided to accuse him of stealing her wallet, based on the evidence she had gathered.",she,decided,evidence,to accuse
"句子：She strives to achieve her goals through dedication and hard work, never letting obstacles deter her from success.",obstacles,strives,success,"to achieve, achieve, letting"
句子：We must acknowledge the efforts of our team members in achieving our project goals.,句子：We,acknowledge,goals,
"句子：To acquire knowledge, one must be willing to explore new ideas and engage in continuous learning processes.",one,be,processes,"acquire, to explore"
"句子：She spread the map across the table, carefully tracing her route from start to finish.",句子：She,spread,finish,"tracing, to tracing"
