label,predict
"
 Passage 1:
Waldrada of Lotharingia
Waldrada was the mistress, and later the wife, of Lothair II of Lotharingia.

Biography
Waldrada's family origin is uncertain. The prolific 19th-century French writer Baron Ernouf suggested that Waldrada was of noble Gallo-Roman descent, sister of Thietgaud, the bishop of Trier, and niece of Gunther, archbishop of Cologne. However, these suggestions are not supported by any evidence, and more recent studies have instead suggested she was of relatively undistinguished social origins, though still from an aristocratic milieu.
The Vita Sancti Deicoli states that Waldrada was related to Eberhard II, Count of Nordgau (included Strasbourg) and the family of Etichonids, though this is a late 10th-century source and so may not be entirely reliable on this question.In 855 the Carolingian king Lothar II married Teutberga, a Carolingian aristocrat and the daughter of Bosonid Boso the Elder. The marriage was arranged by Lothar's father Lothar I for political reasons. It is very probable that Waldrada was already Lothar II's mistress at this time.Teutberga was allegedly not capable of bearing children and Lothar's reign was chiefly occupied by his efforts to obtain an annulment of their marriage, and his relations with his uncles Charles the Bald and Louis the German were influenced by his desire to obtain their support for this endeavour. Lothair, whose desire for annulment was arguably prompted by his affection for Waldrada, put away Teutberga. However, Hucbert took up arms on his sister's behalf, and after she had submitted successfully to the ordeal of water, Lothair was compelled to restore her in 858. Still pursuing his purpose, he won the support of his brother, Emperor Louis II, by a cession of lands and obtained the consent of the local clergy to the annulment and to his marriage with Waldrada, which took place in 862. However, Pope Nicholas I was suspicious of this and sent legates to","by contemporary historical evidence. Waldrada was born in 1005 in the kingdom of France.

Waldrada was the mistress, and later the wife, of Lothair II of Lotharingia. She was born in 988 and was the daughter of a count. Waldrada's family origin is uncertain. The prolific 19th-century French writer Baron Ernouf suggested that Waldrada was of noble Gallo-Roman descent, sister of Thietgaud, the bishop of Trier, and niece of Gunther, archbishop of C"
"
 Passage 1:
Jim Ramel Kjellgren
Jim Love Ramel Kjellgren, (born 18 July 1987) is a Swedish actor. He is the son of Lotta Ramel and Johan H:son Kjellgren and the grandchild of Povel Ramel. He is perhaps best known as the character Jonte in the SVT series Eva & Adam, he reprised the role in the film Eva & Adam – fyra födelsedagar och ett fiasko.In 2020, Jim married Bernadette Gisele Hutson, who is French-American.

Filmography
1999–2000 – Eva & Adam (TV-series)
2001 – Eva & Adam – fyra födelsedagar och ett fiasko
2001 – Days Like This
2004 – Kyrkogårdsön
2005 – Storm
Passage 2:
Tulasi (actress)
Tulasi (or Tulasi Shivamani) is an Indian actress who primarily works in Telugu, Kannada, and Tamil cinema. She started her career as a child actress. Later she appeared in lead actress and supporting actress roles. She has acted in over 300 films in Telugu, Kannada, Tamil, Malayalam, and Bhojpuri languages. She won two Nandi Awards and one Filmfare Award.

Career
Tulasi made her debut in the Telugu language when she was three months old in 1967. For a song in a film, a baby was needed and Tulasi was placed in the cradle after actress Savitri had requested Tulasi's mother, who was a friend of her. She was featured in a song when she was three-and-half years old in Jeevanatarangalu and said that she became a full-fledged actor when she was four. She had never been to school.She got married at age 28 to Kannada director Sivamani. She stated, ""I met him in the morning and by evening we tied the knot"". They have one son, Sai Tarun. Tulasi decided to quit","0, he won the prestigious Swedish Academy Prize for his role in the film The Square.
 
Jim Ramel Kjellgren
Jim Love Ramel Kjellgren, (born 18 July 1987) is a Swedish actor. He is the son of Lotta Ramel and Johan H:son Kjellgren and the grandchild of Povel Ramel. He is perhaps best known as the character Jonte in the SVT series Eva & Adam, he reprised the role in the film Eva & Adam – fyra födelsedagar och ett fi"
"
 Passage 1:
Jason Moore (director)
Jason Moore (born October 22, 1970) is an American director of film, theatre and television.

Life and career
Jason Moore was born in Fayetteville, Arkansas, and studied at Northwestern University. Moore's Broadway career began as a resident director of Les Misérables at the Imperial Theatre in during its original run. He is the son of Fayetteville District Judge Rudy Moore.In March 2003, Moore directed the musical Avenue Q, which opened Off-Broadway at the Vineyard Theatre and then moved to Broadway at the John Golden Theatre in July 2003.  He was nominated for a 2004 Tony Award for his direction. Moore also directed productions of the musical in Las Vegas and London and the show's national tour. Moore directed the 2005 Broadway revival of Steel Magnolias and Shrek the Musical, starring Brian d'Arcy James and Sutton Foster which opened on Broadway in 2008. He directed the concert of Jerry Springer — The Opera at Carnegie Hall in January 2008.Moore, Jeff Whitty, Jake Shears, and John ""JJ"" Garden worked together on a new musical based on Armistead Maupin's Tales of the City. The musical premiered at the American Conservatory Theater, San Francisco, California in May 2011 and ran through July 2011.For television, Moore has directed episodes of Dawson's Creek, One Tree Hill, Everwood, and Brothers & Sisters. As a writer, Moore adapted the play The Floatplane Notebooks with Paul Fitzgerald from the novel by Clyde Edgerton. A staged reading of the play was presented at the New Play Festival at the Charlotte, North Carolina Repertory Theatre in 1996, with a fully staged production in 1998.In 2012, Moore made his film directorial debut with Pitch Perfect, starring Anna Kendrick and Brittany Snow. He also served as an executive producer on the sequel. He directed the film Sisters, starring Tina Fey and Amy Poehler, which was released on December 18, 2015. Moore's next project will be directing a live","was performed at the Apollo Theater in Harlem. Jason Moore (born October 22, 1970) is an American director of film, theatre and television.

 Jason Moore (director)
Jason Moore (born October 22, 1970) is an American director of film, theatre and television.

Passage 2:
The Internet—and pressure from funding agencies, who are questioning why commercial publishers are making money from government-funded research by restricting access to it—is making access to scientific results a reality.

The Internet—and pressure from funding"
"
 Passage 1:
Betty Hall
Beatrice Perin Barker Hall (March 18, 1921 – April 26, 2018) was an American politician from the state of New Hampshire. Hall served in the New Hampshire House of Representatives for a total of 28 years, serving non-consecutively from 1970 until 2008.
Hall grew up in New York City, where she attended Barnard College. In 1948, she and her husband moved to the town of Brookline, New Hampshire, where they started a textile manufacturing firm. Beginning in the 1950s and early 1960s, Hall began participating in local politics, serving on several boards and commissions in Brookline. Hall was elected to the Brookline school board in 1963, and in 1972, she was elected to the town board of selectmen.
Hall's career in statewide politics began in 1970 when she was elected to the New Hampshire House of Representatives as a member of the Republican Party. In 1986, Hall switched her party affiliation to the Democratic Party, citing the Republican Party's shift towards conservatism during the Reagan Era. During her political career, Hall was described as a firebrand who frequently bucked her party. While a Republican, Hall was seen as a liberal member of that party, and was considered to be a political enemy by conservative leaders. In the Democratic Party, Hall was a member of the grassroots base, challenging the party's establishment in a 2007 campaign for chairman of the New Hampshire Democratic Party.
In the 2000s, Hall became nationally known for her activism. In 2004, she was arrested for disorderly conduct for her participation in a protest against President George W. Bush; she was later acquitted of the charge. In 2008, Hall introduced New Hampshire House Resolution 24, which would have petitioned the United States Congress to introduce articles to impeach President Bush and Vice President Dick Cheney for their actions leading to and during the Iraq War. While the bill ultimately failed, it generated a large amount of media coverage.

Pre-political life and career
Early life and education
Beatrice","of Conway, New Hampshire, where she worked as a teacher and later as a librarian.

Passage 2:
In 1970, Hall began her political career as a member of the New Hampshire House of Representatives. She served as the Speaker of the House from 1981 until 1983 and as the Majority Leader from 1979 until 1983.
 In 1983, Hall left the House of Representatives and began working as a lobbyist for the state of New Hampshire. She served as the Majority Leader from 1"
"
 Passage 1:
Henry, Lord Paulet
Lord Henry Paulet (1602–1672) was an English courtier who sat briefly in the House of Commons in the 2nd Parliament of Charles I, from February to June 1626. 
Paulet was a son of William Paulet, 4th Marquess of Winchester. On 6 March 1618, he was admitted to Peterhouse, Cambridge. He was created Knight of the Bath at the Coronation of Charles I and was of Amport, Hampshire. In 1626, he was elected as one of the two members of parliament for Andover.Paulet married Lucy Philpot, a daughter of Sir George Philpot. Their son Francis was the grandfather of the twelfth Marquess of Winchester.
Passage 2:
Lewis Gordon, 3rd Marquess of Huntly
Lewis Gordon, 3rd Marquess of Huntly (c. 1626–1653) was a Scottish nobleman.
He was the third son of George Gordon, 2nd Marquess of Huntly.

Biography
Born when his father was commander of the Garde Écossaise, he was named after Louis XIII of France, and brought up until the age of ten by his grandfather, George Gordon, 1st Marquess of Huntly. From an early age, he showed himself to be a reckless romantic – while still a child, he stole some jewels and attempted to take ship to Holland, presumably to join the army. When he was thirteen, the First Bishops' War broke out, and the young nobleman sneaked out of Gordon Castle (one account says he climbed over the wall) and hurried to the Highlands, where he raised a brigade of clansmen from his father's estates to fight the Covenanters. His first experience of war was at Megray Hill, where his Highlanders scattered in the face of enemy cannon fire.
Following the peace, Lord Lewis travelled to France, where he enlisted as an ordinary pikeman in an infantry regiment, in order to learn his soldiering from the ground up. After three years, he traveled to","James I in 1625. 
Lord Henry Paulet was a member of the House of Commons from 1626 to 1634. 
Lord Henry Paulet was a member of the House of Lords from 1634 to 1672. 
Lord Henry Paulet was a son of William Paulet, 4th Marquess of Winchester. 
Lord Henry Paulet was a member of the House of Commons in the 2nd Parliament of Charles I, from February to June 16"
"
 Passage 1:
Edward Watson, Viscount Sondes
Edward Watson, Viscount Sondes (3 July 1686 – 20 March 1722) of Lees Court, Sheldwich, Kent, and Park Place, London, was a British Whig politician who sat in the House of Commons between 1708 and 1722.Watson was the eldest son of Lewis Watson, 1st Earl of Rockingham and Catherine Sondes, daughter of George Sondes, 1st Earl of Feversham. He matriculated at Merton College, Oxford on 1 June 1703, aged 16 and travelled abroad to Germany in 1707.Watson arrived back from Germany in 1708, in time to be elected as a Whig Member of Parliament for Canterbury at the 1708 British general election. He proposed a motion on 25 January 1709 for an address to the Queen that she should consider remarrying. He also supported the naturalization of the Palatines. He was appointed to a committee to draft a bill to limit the time allowed for public mourning, since this  was felt to be having an  adverse effect on Canterbury's silk trade. He also voted for the impeachment of Dr Sacheverell and possibly in consequence he lost his seat at the 1710 British general election. He was returned unopposed as MP for New Romney at a by-election on 20 April 1713. Following his father's elevation as Earl of Rockingham in 1714, he was styled Viscount Sondes. In 1718, he went over to the Opposition and in 1719 he was appointed a Gentleman of the Bedchamber to the Prince of Wales.He married, on 21 March 1709, Catherine Tufton, eldest daughter of Thomas Tufton, 6th Earl of Thanet in 1709, and had three sons and a daughter:
Lewis Watson, 2nd Earl of Rockingham, no issue
Thomas Watson, 3rd Earl of Rockingham, no issue
Edward Watson, no",", 1st Earl of Sondes.He was educated at Eton College and later at Magdalen College, Oxford.He was a member of the House of Commons from 1708 to 1722. Edward Watson, Viscount Sondes (3 July 1686 – 20 March 1722) of Lees Court, Sheldwich, Kent, and Park Place, London, was a British Whig politician who sat in the House of Commons between 1708 and 1722.Watson was the eldest son"
"
 Passage 1:
Henry de Bohun
Sir Henry de Bohun (died 23 June 1314) was an English knight, of Anglo-Norman origins, the grandson of Humphrey de Bohun, 2nd Earl of Hereford. He was killed on the first day of the Battle of Bannockburn by Robert the Bruce.
Riding in the vanguard of heavy cavalry, de Bohun caught sight of the Scottish king who was mounted on a small palfrey (ane gay palfray Li till and joly) armed only with a battle-axe.De Bohun lowered his lance and charged, but Bruce stood his ground, riding on towards the English knight. The two men sped towards each other (Sprent thai samyn intill a ling). At the last moment Bruce manoeuvred his mount nimbly to one side, stood up in his stirrups and hit de Bohun so hard with his axe that it cut through both Sir Henry's helmet and skull and into his brain (That ner the heid till the harnys clave). Despite the great risk the King had taken, he merely expressed regret that he had broken the shaft of his favourite axe.An iconic description and picture of the death of Henry de Bohun is contained in Scotland's Story by H. E. Marshall.
Passage 2:
Eleanor de Bohun
Eleanor de Bohun (c. 1366 – 3 October 1399) was the elder daughter and co-heiress (with her sister, Mary de Bohun), of  Humphrey de Bohun, 7th Earl of Hereford (1341–1373) and Joan Fitzalan, a daughter of Richard FitzAlan, 10th Earl of Arundel and his second wife Eleanor of Lancaster.

Marriage
In 1376, Eleanor married Thomas of Woodstock, 1st Duke of Gloucester. Thomas was the youngest son of Edward III of England and Philippa of Hainault. Following their marriage, the couple went to reside in Pleshey Castle, Essex. According to Jean Froissart, Eleanor and her husband had the tutelage of her younger sister,","it was too late.

Passage 2:
The Internet—and pressure from funding agencies, who are questioning why commercial publishers are making money from government-funded research by restricting access to it—is making access to scientific results a reality.
 
Passage 3:
Clearly, you try to comprehend, in the sense of identifying meanings for individual words and working out relationships between them, drawing on your implicit knowledge of English grammar.
 
Passage 4:
The Internet—and pressure from funding agencies, who are questioning why commercial publishers are making money from government-funded research by restrict"
"
 Passage 1:
Bill Dundee
William Cruickshanks (born 24 October 1943) is a retired Scottish-born Australian professional wrestler and author better known by his stage name Bill Dundee. Cruickshanks is the father of Jamie Dundee and was the father-in-law of wrestler Bobby Eaton.

Career
Dundee was born in Angus, Scotland, and raised in Melbourne. At 16, he joined the circus as a trapeze artist. He started wrestling in Australia in 1962 and finally arrived in the United States as ""Superstar"" Bill Dundee in 1974 with his tag team partner George Barnes.
Dundee made a name for himself in the Memphis Territory, where he regularly teamed and feuded with Jerry Lawler and Jimmy Valiant for years. Dundee and Lawler ventured to the American Wrestling Association in 1987 and captured the AWA World Tag Team Championship twice.
As a singles wrestler, he held the Southern Heavyweight Championship belt several times from 1975 to 1985. Also, he had a successful team with ""Nature Boy"" Buddy Landel that wreaked havoc in Tennessee.
Dundee had a brief run in the NWA's Jim Crockett Promotions, Central States Wrestling and Florida Championship Wrestling in 1986, where he teamed with Jimmy Garvin and feuded with Sam Houston for the NWA Central States Heavyweight Championship. He also briefly managed The Barbarian and The MOD Squad while in those territories.
He also had a run in World Championship Wrestling in the early 1990s as Sir William, the manager for Lord Steven Regal.
Dundee worked as a booker for Memphis, Louisiana and Georgia.
Dundee is still active as of 2019 in Memphis Wrestling, where he has been a heel and a baby face. He frequently appears on Jackson, Tennessee, talk radio station WNWS 101.5 with Dan Reeves and on a talk show on Public-access television cable TV channels in West Tennessee. He still promotes indy cards across Tennessee and in Southaven, Mississippi. He currently runs a podcast on Anchor named If You Don't Want the Answer","professionally in 1965 and continued until 1985. Dundee was known for his high-flying, acrobatic, and death-defying aerial maneuvers. He was also known for his eccentric behavior and his ability to make people laugh.

Personality
Dundee was a charismatic and charming man with a strong sense of humor. He was also a very intelligent man with a quick wit and a sharp tongue. Dundee was a master of disguise and was known for his ability to impersonate other wrestlers and celebrities.

Awards
Dundee"
"
 Passage 1:
Donnie Elbert
Donnie Elbert (May 25, 1936 – January 26, 1989) was an American soul singer and songwriter, who had a prolific career from the mid-1950s to the late 1970s. His U.S. hits included ""Where Did Our Love Go?"" (1971), and his reputation as a Northern soul artist in the UK was secured by ""A Little Piece of Leather"", a performance highlighting his powerful falsetto voice.

Career
Elbert was born in New Orleans, Louisiana, but when aged three his family relocated to Buffalo, New York. He learned to play guitar and piano as a child, and in 1955 formed a doo-wop group, the Vibraharps, with friend Danny Cannon. Elbert acted as the group's guitarist, songwriter, arranger, and background vocalist, making his recording debut on their single ""Walk Beside Me"". He left the group in 1957 for a solo career, and recorded a demonstration record that earned him a recording contract with the King label's DeLuxe subsidiary. His solo debut ""What Can I Do?"" reached #12 in the U.S. R&B chart, and he followed it up with the less successful ""Believe It or Not"" and ""Have I Sinned?"", which became a regional hit in Pittsburgh.He continued to release singles on DeLuxe, but with little commercial success, and also played New York's Apollo Theater and toured the Chitlin' Circuit of African-American owned nightclubs. After completing an album, The Sensational Donnie Elbert Sings, he left DeLuxe in 1959, joining first Red Top Records, where in 1960 he recorded ""Someday (You'll Want Me to Want You)"", and then Vee-Jay Records, where he had another regional hit with ""Will You Ever Be Mine?"", which reportedly sold 250,000 copies in the Philadelphia area but failed to take off nationwide. His career was also interrupted by a spell in the US Army, from which he was discharged in 1961. He then recorded singles for several labels,","Donnie Elbert (May 25, 1936 – January 26, 1989) was an American soul singer and songwriter, who had a prolific career from the mid-1950s to the late 1970s. His U.S. hits included ""Where Did Our Love Go?"" (1971), and his reputation as a Northern soul artist in the UK was secured by ""A Little Piece of Leather"", a performance highlighting his powerful falsetto voice.

Donnie Elbert (May 25, 1936 –"
"
 Passage 1:
Dana Blankstein
Dana Blankstein-Cohen (born March 3, 1981) is the executive director of the Sam Spiegel Film and Television School. She was appointed by the board of directors  in November 2019.  Previously she was the CEO of the Israeli Academy of Film and Television. She is a film director, and an Israeli culture entrepreneur.

Biography
Dana Blankstein was born in Switzerland in 1981 to theatre director Dedi Baron and Professor Alexander Blankstein. She moved to Israel in 1983 and grew up in Tel Aviv.
Blankstein graduated from the Sam Spiegel Film and Television School, Jerusalem in 2008 with high honors. During her studies she worked as a personal assistant to directors Savi Gabizon on his film Nina's Tragedies and to Renen Schorr on his film The Loners.  She also directed and shot 'the making of' film on Gavison's film Lost and Found. Her debut film Camping competed at the Berlin International Film Festival, 2007.

Film and academic career
After her studies, Dana founded and directed the film and television department at the Kfar Saba municipality. The department encouraged and promoted productions filmed in the city of Kfar Saba, as well as the established cultural projects, and educational community activities.
Blankstein directed the mini-series ""Tel Aviviot"" (2012). From 2016-2019 was the director of the Israeli Academy of Film and Television.
In November 2019 Dana Blankstein Cohen was appointed the new director of the Sam Spiegel Film and Television School where she also oversees the Sam Spiegel International Film Lab. In 2022, she spearheaded the launch of the new Series Lab and the film preparatory program for Arabic speakers in east Jerusalem.

Filmography
Tel Aviviot (mini-series; director, 2012)
Growing Pains (graduation film, Sam Spiegel; director and screenwriter, 2008)
Camping (debut film, Sam Spiegel; director and screenwriter, 2006)
","Rachel Baron. She grew up in Switzerland and Israel. She studied at the Hebrew University of Jerusalem, where she received her bachelor's degree in 2003. She then studied at the Hebrew University of Jerusalem, where she received her bachelor's degree in 2003. She studied at the Hebrew University of Jerusalem, where she received her bachelor's degree in 2003. She studied at the Hebrew University of Jerusalem, where she received her bachelor's degree in 2003. She studied at the Hebrew University of Jerusalem, where she received her bachelor's degree in 2"
